Product ID,Product Category,Product Subcategory,Product Name,Product Description,Product Price,Product Weight,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity,Order Total,Payment Method,,
1001,Mountain BIKES,Cross Country, TrailBlazer 1000 ,Lightweight and versatile,"$1,200.00",25,m,2001,3001,3/1/2023,Shipped,2,2400,Credit Card,,
1002,Mountain Bikes,Cross Country,TrailBlazer 2000,High-performance mountain bike,"$1,500.00",22,l,2002,3002,3/2/2023,Processing,1,1500,PayPal,,
1003,Road Bikes,Racing,SpeedMaster 1000 ,Agile and aerodynamic road bike,"$1,800.00",18,S,2003,3003,3/3/2023,Cancelled,3,5400,Credit Card,,
1004,Road BIKES,Racing,SpeedMaster 2000,Premium racing road bike,"$2,100.00",16,L,2004,3004,3/4/2023,Shipped,1,2100,Credit Card,,
1005,Touring Bikes,Long Distance,Explorer 1000 ,Comfortable and durable touring bike,"$1,300.00",27,M,2005,3005,3/5/2023,Processing,2,2600,PayPal,,
1006,Touring Bikes,Long Distance,Explorer 2000,Advanced touring bike,"$1,600.00",24,L,2006,3006,3/6/2023,Shipped,1,1600,Credit Card,,
1007,Mountain Bikes,Downhill,GravityMaster 1000,Rugged and durable downhill bike,"$2,200.00",29,m,2007,3007,3/7/2023,Shipped,2,4400,PayPal,,
1008,Mountain Bikes,Downhill,       GravityMaster 2000 ,,"$2,500.00",27,L,2008,3008,3/8/2023,Processing,1,2500,Credit Card,,
1021,Mountain Bikes,Trail,Pathfinder 1000,Agile trail bike for all skill levels,"$1,100.00",24,M,2021,3021,3/21/2023,Shipped,2,2200,Credit Card,,
1022,mountain BIKES,Trail,Pathfinder 2000,High-performance trail bike,"$1,400.00",21,l,2022,3022,3/22/2023,Processing,1,1400,PayPal,,
1023,Road Bikes,Touring,    Voyager 1000    ,Comfortable touring road bike,"$1,700.00",20,M,2023,3023,3/23/2023,Cancelled,3,5100,Credit Card,,1
1024,road Bikes,Touring,Voyager 2000,Advanced touring road bike,"$2,000.00",18,L,2024,3024,3/24/2023,Shipped,1,2000,Credit Card,,
1025,Touring Bikes,,Adventurer 1000,Durable bike for long adventures,"$1,500.00",28,m,2025,3025,3/25/2023,Processing,2,3000,PayPal,,
1026,Touring Bikes,Adventure,Adventurer 2000,Premium adventure touring bike,"$1,800.00",26,L,2026,3026,3/26/2023,Shipped,1,1800,Credit Card,,
1027,Mountain Bikes,Enduro,EnduroMaster 1000,Endurance-focused mountain bike,"$2,300.00",30,S,2027,3027,3/27/2023,Shipped,2,4600,PayPal,,
1028,mountain bikes,Enduro,EnduroMaster 2000,High-performance enduro mountain bike,"$2,600.00",28,L,2028,3028,3/28/2023,Processing,1,2600,Credit Card,,
1041,Mountain Bikes,Fat Bikes,FatTrail 1000,All-terrain fat bike,"$1,300.00",32,m,2041,3041,3/11/2023,Shipped,2,2600,Credit Card,,
1042,Mountain Bikes,Fat Bikes,FatTrail 2000,High-performance fat bike,"$1,600.00",29,L,2042,3042,3/12/2023,Processing,1,1600,PayPal,,
1043,Road Bikes,Cyclocross,CrossRider 1000,Versatile cyclocross bike,"$1,900.00",21,M,2043,3043,3/13/2023,Cancelled,3,5700,Credit Card,,
1044,Road Bikes,Cyclocross,CrossRider 2000,Advanced cyclocross bike,"$2,200.00",19,L,2044,3044,3/14/2023,Shipped,1,2200,Credit Card,,
1045,Touring Bikes,Tandem,DuoExplorer 1000,Comfortable tandem touring bike,"$2,000.00",36,M,2045,3045,3/15/2023,Processing,2,4000,PayPal,,
1046,Touring Bikes,Tandem,DuoExplorer 2000,High-performance tandem touring bike,"$2,300.00",34,L,2046,3046,3/16/2023,Shipped,1,2300,Credit Card,,
1047,Mountain Bikes,Electric,E-Mountain 1000,Electric mountain bike,"$3,000.00",40,M,2047,3047,3/17/2023,Shipped,2,6000,PayPal,,
1048,Mountain Bikes,Electric,E-Mountain 2000,High-performance electric mountain bike,"$3,500.00",38,L,2048,3048,3/18/2023,Processing,1,3500,Credit Card,,
1061,E-Bikes,City,UrbanEco 1000,Eco-friendly electric city bike,"$2,000.00",35,s,2061,3061,3/1/2023,Shipped,2,4000,Credit Card,,
1062,E-Bikes,City,UrbanEco 2000,High-performance electric city bike,"$2,500.00",33,L,2062,3062,3/2/2023,Processing,1,2500,PayPal,,
1063,ROAD BIKES,Gravel,GravelMaster 1000,All-terrain gravel bike,"$1,700.00",22,M,2063,3063,3/3/2023,Cancelled,3,5100,Credit Card,,
1064,Road Bikes,Gravel,GravelMaster 2000,High-performance gravel bike,"$2,100.00",20,L,2064,3064,3/4/2023,Shipped,1,2100,Credit Card,,
1065,Touring Bikes,Folding,FoldAway 1000,Compact folding touring bike,"$1,500.00",30,M,2065,3065,3/5/2023,Processing,2,3000,PayPal,,
1066,Touring Bikes,Folding,FoldAway 2000,Advanced folding touring bike,"$1,800.00",28,L,2066,3066,3/6/2023,Shipped,1,1800,Credit Card,,
1067,E-Bikes,Mountain,E-TrailBlazer 1000,Electric mountain bike,"$3,200.00",42,M,2067,3067,3/7/2023,Shipped,2,6400,PayPal,,
1068,E-Bikes,Mountain,E-TrailBlazer 2000,High-performance electric mountain bike,"$3,700.00",40,L,2068,3068,3/8/2023,Processing,1,3700,Credit Card,,
1081,Hybrid Bikes,Commuter,CommutePro 1000,Efficient commuter hybrid bike,"$1,200.00",27,M,2081,3081,2/19/2023,Shipped,2,2400,Credit Card,,
1082,Hybrid Bikes,Commuter,CommutePro 2000,High-performance commuter hybrid bike,"$1,500.00",25,L,2082,3082,2/20/2023,Processing,1,1500,PayPal,,
1083,Road Bikes,Aero,AeroSpeed 1000,Aerodynamic road bike,"$2,800.00",18,M,2083,3083,2/21/2023,Cancelled,3,8400,Credit Card,,
1084,Road Bikes,Aero,AeroSpeed 2000,Advanced aerodynamic road bike,"$3,200.00",16,L,2084,3084,2/22/2023,Shipped,1,3200,Credit Card,,
1085,Touring Bikes,Recumbent,ReclineRider 1000,Comfortable recumbent touring bike,"$2,000.00",33,M,2085,3085,2/23/2023,Processing,2,4000,PayPal,,
1086,Touring Bikes,Recumbent,ReclineRider 2000,High-performance recumbent touring bike,"$2,400.00",30,L,2086,3086,2/24/2023,Shipped,1,2400,Credit Card,,
1087,Mountain Bikes,Downhill,DownhillDominator 1000,Downhill mountain bike,"$2,900.00",34,M,2087,3087,2/25/2023,Shipped,2,5800,PayPal,,
1088,Mountain Bikes,Downhill,DownhillDominator 2000,High-performance downhill mountain bike,"$3,300.00",32,L,2088,3088,2/26/2023,Processing,1,3300,PayPal,,
1101,Kids Bikes,Balance,LittleBalancer 1000,Starter balance bike for kids,$150.00,10,M,2101,3101,2/1/2023,Shipped,2,300,Credit Card,,
1102,Kids Bikes,Balance,LittleBalancer 2000,Upgraded balance bike for kids,$200.00,9,L,2102,3102,2/2/2023,Processing,1,200,PayPal,,
1103,BMX Bikes,Freestyle,FreestyleMaster 1000,Beginner freestyle BMX bike,$400.00,25,M,2103,3103,2/3/2023,Cancelled,3,1200,Credit Card,,
1104,BMX Bikes,Freestyle,FreestyleMaster 2000,Advanced freestyle BMX bike,$600.00,23,L,2104,3104,2/4/2023,Shipped,1,600,Credit Card,,
1105,Mountain Bikes,Cross Country,XC-Rider 1000,Cross country mountain bike,"$1,800.00",29,M,2105,3105,2/5/2023,Processing,2,3600,PayPal,,
1106,Mountain Bikes,Cross Country,XC-Rider 2000,High-performance cross country bike,"$2,400.00",27,L,2106,3106,2/6/2023,Shipped,1,2400,Credit Card,,
1107,ROAD BIKES,Endurance,EnduranceElite 1000,Endurance road bike,"$2,100.00",20,M,2107,3107,2/7/2023,Shipped,2,4200,PayPal,,
1108,Road Bikes,Endurance,EnduranceElite 2000,High-performance endurance road bike,"$2,600.00",18,L,2108,3108,2/8/2023,Processing,1,2600,Credit Card,,
